"year","month","total_songs","total_minutes","unique_songs","unique_artists","unique_genre","avg_bpm","sd_bpm","avg_nrgy","sd_nrgy"
2014,4,1285,4432.88661666666,675,262,20,122.5814696485623,25.843722426516894,68.95527156549521,20.469597045649735
2014,5,1901,6533.039633333331,664,309,24,125.55104895104894,25.8284820613375,72.03496503496503,19.00258444291146
2014,6,1507,4854.050400000005,670,325,30,121.94377510040161,25.504188542371825,64.96184738955824,22.085906679234746
2014,7,1263,3940.174200000006,693,362,27,124.90843373493976,24.95457324423237,66.76626506024095,20.8268875657974
2014,8,1573,4723.757983333327,530,245,15,127.47848537005163,23.48333896055717,73.62650602409639,15.439311212036575
2014,9,1546,5064.398116666663,512,290,23,121.48421052631579,24.169148044242835,62.88270676691733,23.583766724239414
2014,10,1187,3641.357199999998,575,312,24,120.09999999999998,30.26017668711532,62.51111111111112,21.489477656962208
2014,11,1431,4694.020916666664,750,299,48,123.97905759162305,27.617345607479567,71.44240837696333,18.668960859288457
2014,12,2002,6453.119349999999,741,371,47,120.64462809917353,26.759953327508313,69.38016528925621,19.68895563176761
2015,1,2614,9321.887449999977,557,330,35,120.90248226950357,27.08403683921795,66.48315602836881,18.748834449772268
2015,2,972,3145.1398000000017,576,333,27,121.11418685121107,26.29805336017116,66.44636678200692,20.697676557500188
2015,3,743,2614.520483333336,354,213,19,122.404,22.233896839616293,67.584,17.331024251509948
2015,4,942,2287.1919666666677,489,293,41,126.50549450549451,25.917258051308153,72.34945054945054,19.667804891672862
2015,5,1396,4068.1746000000026,713,402,29,123.96854304635762,26.0521355814585,75.57615894039733,18.300309320023178
2015,6,1149,3382.0465166666695,625,369,41,123.26795096322242,24.214828120013614,74.71103327495622,18.89431922843237
2015,7,972,2279.0402999999983,602,339,37,125.72448979591837,23.905993726212845,72.16326530612247,19.497519048065417
2015,8,1779,6670.391416666664,929,501,37,123.5357590966123,25.31465876372424,74.4667503136763,16.78628481509854
2015,9,1166,3210.0473166666575,401,136,23,121.840625,24.294617479590492,64.828125,24.622131573942053
2015,10,1344,4196.346199999983,517,210,26,109.35361842105263,23.70608649972782,57.32894736842106,22.98313293589712
2015,11,1265,4463.202383333336,477,312,41,119.0013966480447,24.2974860883689,59.037709497206656,28.496594860831053
2015,12,2112,5778.715249999996,871,497,52,121.03158769742309,22.975983983055002,64.31753948462178,25.376740367468987
2016,1,1626,3160.760350000002,537,297,51,122.46339677891652,24.893732677562404,70.29502196193265,20.992657117588987
2016,2,890,2567.735766666669,559,315,38,123.93865030674844,27.22907376336295,70.89161554192229,19.312956219011703
